,ID,Fuel type,Engine volume,Cylinders,Gear box type,Leather interior,Airbags,Drive wheels,Wheel
92,45769914,Petrol,2.5,4.0,Automatic,Yes,0,4x4,Left wheel
93,45744824,Petrol,2,4.0,Automatic,Yes,4,Front,Left wheel
94,45792882,Petrol,2,4.0,Tiptronic,No,12,Front,Left wheel
95,45330228,Petrol,2.0 Turbo,4.0,Automatic,Yes,12,Rear,Left wheel
96,45776745,Diesel,2.8 Turbo,4.0,Manual,No,0,Rear,Left wheel
97,45749534,Petrol,1.4,4.0,Manual,Yes,6,Front,Left wheel
98,45789555,Petrol,3.2,6.0,Tiptronic,Yes,8,Rear,Left wheel
99,45797276,Petrol,2,4.0,Automatic,Yes,4,Front,Left wheel
100,45809760,Petrol,1.4,4.0,Automatic,Yes,12,Front,Left wheel
101,45810325,Petrol,3.8,6.0,Automatic,Yes,12,Rear,Left wheel
102,45813375,Hybrid,2,4.0,Automatic,Yes,12,Front,Left wheel
103,45756975,Petrol,4.6,8.0,Automatic,Yes,0,4x4,Left wheel
104,45776758,Diesel,2.2 Turbo,4.0,Manual,No,1,Rear,Left wheel
105,45550733,Petrol,1.5,4.0,Automatic,No,6,Front,Left wheel
106,44094036,Petrol,2,4.0,Automatic,No,10,Front,Left wheel
107,45642797,Diesel,3,6.0,Automatic,Yes,12,4x4,Left wheel
108,45760895,Hybrid,3,6.0,Automatic,Yes,12,Rear,Left wheel
109,45742789,Petrol,1.2,4.0,Manual,No,2,Front,Left wheel
110,45783859,CNG,3,6.0,Tiptronic,Yes,12,Rear,Left wheel
111,45808992,Petrol,2.3,4.0,Automatic,Yes,4,Front,Left wheel
112,45731735,Diesel,2.5,4.0,Automatic,Yes,4,Front,Left wheel
113,45797948,Petrol,1.6,4.0,Automatic,Yes,4,Front,Left wheel
114,45782067,LPG,2.4,4.0,Tiptronic,No,16,4x4,Right-hand drive
115,45534351,Petrol,5,12.0,Tiptronic,Yes,12,Rear,Right-hand drive
116,45753393,Petrol,1.3,4.0,Manual,No,0,Rear,Left wheel
117,45624923,Petrol,1.5,4.0,Variator,No,4,Front,Right-hand drive
118,45726679,Diesel,2,4.0,Automatic,Yes,4,Front,Left wheel
119,45803059,Diesel,2,4.0,Automatic,Yes,4,Front,Left wheel
120,45770405,Hybrid,2.5,4.0,Tiptronic,Yes,12,Front,Left wheel
121,45787329,Petrol,1.2,3.0,Manual,No,0,Front,Left wheel
122,45763505,Petrol,2.5,4.0,Automatic,Yes,12,Front,Left wheel
123,45767451,Hybrid,3.3,6.0,Automatic,Yes,12,4x4,Left wheel
124,45636958,Petrol,2,4.0,Automatic,Yes,0,Front,Left wheel
125,45757670,Petrol,2.5,4.0,Tiptronic,Yes,6,Front,Left wheel
126,45733244,LPG,2,4.0,Automatic,Yes,4,Front,Left wheel
127,45802837,Diesel,2,4.0,Automatic,Yes,4,Front,Left wheel
128,45646428,Hybrid,2.5,4.0,Automatic,Yes,12,Front,Left wheel
129,45801896,Diesel,2.2 Turbo,4.0,Manual,No,4,Rear,Left wheel
130,45797732,Diesel,2.5,4.0,Automatic,Yes,4,Front,Left wheel
131,45762683,Petrol,2,4.0,Tiptronic,No,12,Front,Right-hand drive
132,45767013,Petrol,3.5,6.0,Automatic,Yes,12,Front,Left wheel
133,45732074,Petrol,2.4,4.0,Automatic,No,8,4x4,Left wheel
134,45731782,Diesel,2.5,4.0,Automatic,Yes,4,Front,Left wheel
135,45662111,Hybrid,1.5,4.0,Automatic,Yes,0,Front,Left wheel
136,45766794,Petrol,2.4,4.0,Automatic,No,6,4x4,Left wheel
137,45764126,Petrol,4.6,8.0,Automatic,Yes,0,4x4,Left wheel
138,45768549,Petrol,4.6,8.0,Automatic,Yes,0,4x4,Left wheel
139,44698379,Petrol,2.4,4.0,Tiptronic,Yes,6,Front,Left wheel
140,45770233,Petrol,2,4.0,Automatic,Yes,12,Rear,Left wheel
141,45803455,LPG,2,4.0,Automatic,Yes,4,Front,Left wheel
142,45760030,Hybrid,1.4,4.0,Automatic,Yes,0,Front,Left wheel
143,45810339,Petrol,2.4,4.0,Automatic,Yes,12,Front,Left wheel
144,45759786,Diesel,2.5,4.0,Manual,No,1,Rear,Left wheel
145,45642844,Hybrid,2.5,4.0,Automatic,Yes,12,Front,Left wheel
146,44921934,Petrol,1.8,4.0,Automatic,No,8,4x4,Left wheel
147,45462592,Petrol,1.2,4.0,Automatic,No,4,Front,Right-hand drive
148,45634898,Diesel,2,4.0,Automatic,Yes,12,Front,Left wheel
149,45777114,Petrol,2.0 Turbo,6.0,Tiptronic,No,6,4x4,Right-hand drive
150,45451626,Petrol,1.8,4.0,Tiptronic,Yes,12,Front,Left wheel
151,45732976,LPG,2,4.0,Automatic,Yes,4,Front,Left wheel
152,44452971,Petrol,3.5,6.0,Tiptronic,Yes,16,Front,Left wheel
153,45648000,Hybrid,2.5,4.0,Automatic,Yes,12,Front,Left wheel
154,45796845,Diesel,2.5,4.0,Automatic,Yes,4,Front,Left wheel
155,45733140,LPG,2,4.0,Automatic,Yes,4,Front,Left wheel
156,45762282,Hybrid,1.4,4.0,Automatic,Yes,0,Front,Left wheel
157,45810003,Petrol,1.5,4.0,Automatic,Yes,4,Front,Left wheel
158,44875253,Petrol,1.7,4.0,Automatic,No,8,Front,Left wheel
159,45807577,Petrol,2.0 Turbo,4.0,Tiptronic,Yes,6,Front,Left wheel
160,45729867,Diesel,2,4.0,Automatic,Yes,4,Front,Left wheel
161,45801397,Hybrid,1.8,4.0,Automatic,No,4,4x4,Left wheel
162,45765622,Petrol,3.5,6.0,Automatic,Yes,12,Front,Left wheel
163,45781785,Diesel,2.9,4.0,Automatic,Yes,6,Front,Left wheel
164,45802035,Petrol,2,4.0,Automatic,Yes,4,Front,Left wheel
165,45811318,Petrol,1.6,4.0,Manual,No,2,Front,Left wheel
166,45751101,Petrol,3.5,6.0,Automatic,Yes,12,4x4,Left wheel
167,45801611,Petrol,1.6,4.0,Automatic,Yes,4,Front,Left wheel
168,45792460,Petrol,1.8,6.0,Tiptronic,Yes,8,Front,Left wheel
169,45798511,Petrol,2.4,6.0,Manual,Yes,4,Rear,Left wheel
170,45765057,Petrol,2,4.0,Automatic,Yes,12,4x4,Left wheel
171,45782173,Petrol,0.5,1.0,Tiptronic,Yes,0,Rear,Right-hand drive
172,45802937,Diesel,2,4.0,Automatic,Yes,4,Front,Left wheel
173,45675386,Petrol,1.8 Turbo,4.0,Tiptronic,Yes,8,Rear,Left wheel
174,45795520,Hybrid,2.5,4.0,Variator,Yes,12,Front,Left wheel
175,45778720,Petrol,1.5,4.0,Automatic,No,2,4x4,Right-hand drive
176,45802938,Diesel,2,4.0,Automatic,Yes,4,Front,Left wheel
177,45801304,Petrol,2.5,6.0,Manual,Yes,6,Rear,Left wheel
178,45808583,Petrol,3,6.0,Automatic,Yes,12,4x4,Left wheel
179,45395938,Diesel,2.4 Turbo,4.0,Manual,No,2,4x4,Left wheel
180,45810208,Petrol,1.4,4.0,Automatic,Yes,12,Front,Left wheel
181,45766275,Petrol,1.4,4.0,Automatic,Yes,12,Front,Left wheel
182,45793851,CNG,2,4.0,Manual,No,2,Front,Left wheel
183,45805913,Petrol,3.5 Turbo,6.0,Tiptronic,No,4,4x4,Right-hand drive
184,45793479,LPG,4,6.0,Tiptronic,Yes,12,4x4,Left wheel
185,43390500,Petrol,3,6.0,Automatic,Yes,12,4x4,Right-hand drive
186,45769518,Diesel,3.5,6.0,Automatic,Yes,12,4x4,Left wheel
187,45792823,CNG,2,4.0,Manual,No,0,Front,Left wheel
188,45776494,LPG,1.9,4.0,Tiptronic,No,4,Front,Left wheel
189,45787317,Petrol,2.5,4.0,Tiptronic,Yes,12,Front,Left wheel
190,45813281,Diesel,2,4.0,Automatic,Yes,12,Front,Left wheel
191,45772050,Petrol,2.7,4.0,Automatic,Yes,12,Rear,Left wheel
192,45771040,Diesel,3.5,6.0,Automatic,Yes,12,4x4,Left wheel
193,45788160,Petrol,2.4,4.0,Automatic,No,6,4x4,Left wheel
194,45776729,Diesel,2.8 Turbo,4.0,Manual,No,0,Rear,Left wheel
195,45646578,Petrol,3,6.0,Automatic,Yes,0,4x4,Left wheel
196,45815974,Petrol,2.4,4.0,Automatic,Yes,12,Front,Left wheel
197,45773662,Diesel,3.5,6.0,Automatic,Yes,12,Rear,Left wheel
198,45767823,Petrol,2.5,4.0,Automatic,No,8,Front,Left wheel
199,45810599,LPG,2,4.0,Automatic,Yes,4,Front,Left wheel
200,45709646,Petrol,2,4.0,Automatic,No,4,4x4,Right-hand drive
201,45808960,Petrol,3.5,4.0,Automatic,Yes,4,Front,Left wheel
202,45816333,Diesel,1.6,4.0,Manual,No,8,Front,Left wheel
203,45802892,Diesel,2,4.0,Automatic,Yes,4,Front,Left wheel
204,45805683,Petrol,2.4,4.0,Manual,No,2,Front,Left wheel
205,45810372,Petrol,3.6,6.0,Automatic,Yes,12,4x4,Left wheel
206,45791663,Petrol,1.8,4.0,Manual,Yes,4,Front,Left wheel
207,45816588,Petrol,1.6,4.0,Automatic,No,12,4x4,Left wheel
208,45813342,Hybrid,1.8,4.0,Automatic,Yes,0,Front,Left wheel
209,45798451,Hybrid,1.5,4.0,Automatic,No,6,Front,Left wheel
210,45803832,Diesel,2,4.0,Automatic,Yes,4,Front,Left wheel
211,45156280,Petrol,4.8,8.0,Tiptronic,Yes,8,4x4,Left wheel
212,45801000,Petrol,1.6,4.0,Tiptronic,No,10,Front,Left wheel
213,44782223,Petrol,2.5,4.0,Tiptronic,No,0,Front,Left wheel
214,45721264,Petrol,1.5,4.0,Automatic,No,4,Front,Right-hand drive
215,45453314,Hybrid,1.5,4.0,Variator,No,4,Front,Right-hand drive
216,45761984,Petrol,1.5,4.0,Variator,No,4,Front,Right-hand drive
217,45783494,Hybrid,1.8,4.0,Variator,Yes,6,Front,Left wheel
218,45809193,Petrol,1.3,4.0,Automatic,Yes,4,Front,Left wheel
219,41704944,Petrol,5.5,4.0,Automatic,Yes,10,Front,Left wheel
220,45095136,Hybrid,1.3,4.0,Variator,No,4,Front,Right-hand drive
221,45612423,Petrol,1.8,4.0,Tiptronic,Yes,6,Front,Left wheel
222,45781861,Diesel,2.0 Turbo,4.0,Tiptronic,Yes,16,Front,Left wheel
223,45768489,Petrol,5.3,8.0,Automatic,Yes,12,Front,Left wheel
224,45731459,Diesel,2.5,4.0,Automatic,Yes,4,Front,Left wheel
225,45536422,Hybrid,2.5,4.0,Tiptronic,Yes,12,Front,Left wheel
226,45742092,Diesel,1.6 Turbo,4.0,Tiptronic,Yes,8,Front,Left wheel
227,45769229,Petrol,2.5,4.0,Automatic,Yes,12,Front,Left wheel
228,45788888,Petrol,4,6.0,Automatic,No,5,4x4,Left wheel
229,45768507,Petrol,4.6,8.0,Automatic,Yes,0,4x4,Left wheel
230,45506452,Petrol,1.8,4.0,Tiptronic,No,10,Front,Left wheel
231,45809707,Petrol,1.4,4.0,Automatic,Yes,4,Front,Left wheel
232,45804644,Petrol,1.6,4.0,Automatic,Yes,4,Front,Left wheel
233,45761379,Petrol,1.6,4.0,Manual,No,6,Front,Left wheel
234,45799440,Petrol,1.3,4.0,Automatic,No,7,Front,Right-hand drive
235,45758164,Hybrid,0.4,4.0,Automatic,Yes,0,Front,Left wheel
236,45813708,Diesel,2,4.0,Automatic,Yes,12,Front,Left wheel
237,45813166,Petrol,2.5,4.0,Automatic,Yes,12,Front,Left wheel
238,45804525,Diesel,2,4.0,Automatic,Yes,4,Front,Left wheel
239,45656681,Hybrid,1.5,4.0,Automatic,Yes,0,Front,Left wheel
240,45812738,Petrol,1.8,4.0,Automatic,Yes,12,Front,Left wheel
241,45754449,Petrol,2.8,6.0,Manual,Yes,6,Front,Left wheel
242,45634846,Diesel,2,4.0,Automatic,Yes,12,Front,Left wheel
243,45809446,Petrol,1.5,4.0,Automatic,Yes,4,Front,Left wheel
244,45315594,Petrol,2.5,4.0,Automatic,Yes,4,4x4,Left wheel
245,45789380,Petrol,2.5,4.0,Automatic,No,4,Front,Left wheel
246,45770019,Petrol,2,4.0,Automatic,Yes,0,4x4,Left wheel
247,45813976,Hybrid,1.8,4.0,Automatic,No,7,Front,Left wheel
248,45636297,Petrol,3,6.0,Tiptronic,Yes,10,Rear,Left wheel
249,45794250,Petrol,3.5,6.0,Tiptronic,Yes,12,Rear,Left wheel
250,45636962,Hybrid,2,4.0,Automatic,Yes,0,Front,Left wheel
251,45797238,Diesel,1.6,4.0,Automatic,Yes,4,Front,Left wheel
252,45732617,LPG,2,4.0,Automatic,Yes,4,Front,Left wheel
253,32116317,Hybrid,1.5,4.0,Automatic,No,0,Rear,Right-hand drive
254,45803460,LPG,2,4.0,Automatic,Yes,4,Front,Left wheel
255,43247033,Petrol,1.4,4.0,Automatic,No,6,Front,Right-hand drive
256,45769197,Diesel,3.5,6.0,Automatic,Yes,12,4x4,Left wheel
257,45787509,Petrol,2.5,4.0,Automatic,Yes,12,Front,Left wheel
258,45760052,Hybrid,1.4,4.0,Automatic,Yes,0,Front,Left wheel
259,45809244,Hybrid,1.3,4.0,Automatic,Yes,4,Front,Left wheel
260,45771034,Petrol,2.5,4.0,Automatic,Yes,12,Front,Left wheel
261,45804881,Diesel,1.6,4.0,Automatic,Yes,4,Front,Left wheel
262,45765365,Petrol,2.7,4.0,Automatic,Yes,12,Rear,Left wheel
263,45796914,Diesel,2.5,4.0,Automatic,Yes,4,Front,Left wheel
264,45771073,Petrol,2,4.0,Automatic,Yes,12,Rear,Left wheel
265,45787608,CNG,1.8,4.0,Variator,Yes,2,Front,Left wheel
266,45771597,Petrol,1.6 Turbo,4.0,Automatic,Yes,8,Front,Left wheel
267,45769046,Diesel,3,6.0,Automatic,Yes,12,Rear,Left wheel
268,45638142,Hybrid,2,4.0,Automatic,Yes,0,Front,Left wheel
269,45641194,Petrol,1.6,4.0,Automatic,Yes,0,4x4,Left wheel
270,45807457,Petrol,2,4.0,Automatic,Yes,12,Rear,Left wheel
271,45730558,Diesel,1.6,4.0,Automatic,Yes,4,Front,Left wheel
272,45815469,Diesel,2.2,4.0,Manual,No,2,Front,Left wheel
273,45539130,Hybrid,2.4,4.0,Tiptronic,Yes,8,Front,Left wheel
274,45659883,Petrol,4.6,8.0,Automatic,Yes,0,4x4,Left wheel
275,45816131,Petrol,3.5,6.0,Automatic,Yes,12,4x4,Left wheel
276,44810053,Petrol,1.4 Turbo,4.0,Tiptronic,No,12,Front,Left wheel
277,45764759,Petrol,4.6,8.0,Automatic,Yes,12,4x4,Left wheel
278,45804880,Diesel,2,4.0,Automatic,Yes,4,Front,Left wheel
279,45622835,Diesel,3.2 Turbo,4.0,Automatic,Yes,4,4x4,Right-hand drive
280,45813983,Petrol,3.5,6.0,Automatic,Yes,12,Rear,Left wheel
281,45803575,LPG,2,4.0,Automatic,Yes,4,Front,Left wheel
282,45787301,Petrol,5,8.0,Automatic,Yes,12,Rear,Left wheel
283,45804856,Diesel,2,4.0,Automatic,Yes,4,Front,Left wheel
284,45802041,Petrol,2,4.0,Automatic,Yes,4,Front,Left wheel
285,45635110,Hybrid,2,4.0,Automatic,Yes,0,Front,Left wheel
286,45797839,Diesel,2.5,4.0,Automatic,Yes,4,Front,Left wheel
287,45793323,Petrol,1.8 Turbo,4.0,Tiptronic,Yes,8,Rear,Left wheel
288,45766543,Hybrid,2.5,4.0,Automatic,Yes,12,Front,Left wheel
289,45782548,Petrol,3.5,4.0,Automatic,Yes,0,Rear,Left wheel
290,45797924,Petrol,1.6,4.0,Automatic,Yes,4,Front,Left wheel
291,45811155,Hybrid,2,4.0,Automatic,Yes,12,Front,Left wheel
292,45749575,Petrol,1.5,4.0,Automatic,No,4,Front,Right-hand drive
293,44006324,Petrol,2.5,4.0,Tiptronic,No,12,Front,Left wheel
294,45764287,Petrol,1.8,4.0,Manual,No,0,Front,Left wheel
295,45793908,Diesel,2,4.0,Automatic,Yes,4,Front,Left wheel
296,45763993,Diesel,2.0 Turbo,4.0,Manual,No,2,Front,Left wheel
297,45731752,Diesel,2.5,4.0,Automatic,Yes,4,Front,Left wheel
298,45725280,CNG,2,4.0,Manual,Yes,4,Rear,Left wheel
299,45115251,Petrol,2,4.0,Automatic,No,8,Front,Left wheel
300,45786030,Petrol,1.1,4.0,Manual,No,2,Front,Left wheel
301,45812786,Petrol,1.5,4.0,Manual,No,2,Front,Left wheel
302,45800731,Petrol,1.4,4.0,Automatic,Yes,0,Front,Left wheel
303,45813862,Hybrid,2,4.0,Automatic,Yes,12,Front,Left wheel
304,45810175,Hybrid,3.5,6.0,Automatic,Yes,12,4x4,Left wheel
305,45342484,Petrol,3.5,4.0,Tiptronic,Yes,12,4x4,Left wheel
306,45751145,Petrol,2,4.0,Automatic,Yes,12,Front,Left wheel
307,45504338,Hybrid,2.5,4.0,Automatic,Yes,10,Front,Left wheel
308,45797233,LPG,1.6,4.0,Automatic,Yes,4,Front,Left wheel
309,45787913,Petrol,1.8,4.0,Manual,No,4,Front,Right-hand drive
310,45798480,Petrol,3.2,6.0,Tiptronic,Yes,4,Rear,Left wheel
311,45752253,Petrol,2.4,4.0,Automatic,Yes,12,Front,Left wheel
312,45769910,Petrol,2.5,4.0,Automatic,Yes,0,4x4,Left wheel
313,45548523,Hybrid,2.5,4.0,Tiptronic,Yes,12,Front,Left wheel
314,45806590,Diesel,2.1,4.0,Automatic,Yes,12,4x4,Left wheel
315,37082532,Petrol,3,6.0,Tiptronic,Yes,12,4x4,Left wheel
316,45814316,Petrol,3.0 Turbo,6.0,Automatic,Yes,12,4x4,Left wheel
317,45751820,Petrol,2,4.0,Automatic,Yes,12,Front,Left wheel
318,45793536,Petrol,1.8,6.0,Manual,No,0,Front,Left wheel
319,45776871,Hybrid,1.5,4.0,Variator,Yes,12,Front,Left wheel
320,45815909,Petrol,2.4,4.0,Automatic,Yes,12,Front,Left wheel
321,45767606,Hybrid,1.8,4.0,Automatic,Yes,12,Front,Left wheel
322,42866899,Petrol,4,12.0,Automatic,No,12,4x4,Left wheel
323,45706976,Hybrid,1.3,4.0,Automatic,No,8,Front,Right-hand drive
324,43353662,LPG,1.8,4.0,Manual,No,2,Rear,Left wheel
325,45792706,Hybrid,2.4,4.0,Variator,Yes,8,Front,Left wheel
326,45543235,Petrol,2.4,4.0,Variator,Yes,12,Front,Left wheel
327,45749598,Petrol,2.5,4.0,Tiptronic,Yes,12,Front,Left wheel
328,45617361,Petrol,2.5,4.0,Variator,No,7,4x4,Left wheel
329,45797343,Petrol,1.6,4.0,Automatic,Yes,4,Front,Left wheel
330,45815372,CNG,2,4.0,Manual,No,4,Rear,Left wheel
331,45757416,Hybrid,0.4,4.0,Automatic,Yes,0,Front,Left wheel
332,45654682,Petrol,3,6.0,Automatic,Yes,0,4x4,Left wheel
333,45804791,Diesel,2,4.0,Automatic,Yes,4,Front,Left wheel
334,45809396,Petrol,1.5,4.0,Automatic,Yes,4,Front,Left wheel
335,45763292,Petrol,2.5,4.0,Automatic,Yes,12,Front,Left wheel
336,45754843,Petrol,3.5,6.0,Automatic,Yes,12,Front,Left wheel
337,45806345,Hybrid,1.8,4.0,Automatic,No,8,Front,Left wheel
338,45774174,Petrol,3.5,6.0,Automatic,Yes,12,4x4,Left wheel
339,45756945,Petrol,2.0 Turbo,4.0,Tiptronic,Yes,12,Front,Left wheel
340,45797127,Diesel,1.6,4.0,Automatic,Yes,4,Front,Left wheel
341,45809778,Petrol,1.8,4.0,Automatic,Yes,4,Front,Left wheel
342,45804848,Diesel,2,4.0,Automatic,Yes,4,Front,Left wheel
343,45786770,LPG,3,6.0,Tiptronic,Yes,10,4x4,Right-hand drive
344,45730143,Petrol,1.6,4.0,Automatic,Yes,4,Front,Left wheel
345,45814808,Petrol,3,6.0,Automatic,Yes,12,4x4,Left wheel
346,45813961,Petrol,3.5,6.0,Automatic,Yes,12,4x4,Left wheel
347,45764921,Petrol,4.6,8.0,Automatic,Yes,0,4x4,Left wheel
348,45620554,Diesel,5.5,8.0,Automatic,Yes,12,4x4,Left wheel
349,45524915,Petrol,2,4.0,Automatic,Yes,12,Front,Left wheel
350,45808996,Petrol,1.6,4.0,Automatic,Yes,4,Front,Left wheel
351,45811316,Diesel,3,6.0,Automatic,Yes,12,4x4,Left wheel
352,45782212,Hybrid,2,4.0,Automatic,No,9,Front,Left wheel
353,45624104,Hybrid,1.3,4.0,Variator,No,12,Front,Left wheel
354,42427923,Petrol,1.3,4.0,Variator,No,4,Front,Right-hand drive
