,ID,Price,Manufacturer,Model,Prod_year,Category,Mileage,Color
46,45726453,15681,TOYOTA,Prius C,2012,Hatchback,128000,Sky blue
47,45732544,55390,HYUNDAI,Santa FE,2017,Jeep,100734,Black
48,45811563,12544,TOYOTA,Aqua,2012,Hatchback,141500,Black
49,45699930,17249,FORD,Escape Hybrid,2008,Jeep,147000,White
50,45809839,34889,HONDA,Civic,2016,Sedan,87768,Blue
51,45767508,862,AUDI,Q7,2015,Jeep,264014,Black
52,45802148,14583,RENAULT,Megane 1.5CDI,2008,Sedan,132542,White
53,45769316,392,MERCEDES-BENZ,E 300,2017,Sedan,1600,Black
54,44153312,38500,AUDI,Q5,2014,Jeep,87000,White
55,45782169,8781,MERCEDES-BENZ,C 180,2001,Coupe,260000,Blue
56,44316016,87112,MERCEDES-BENZ,GLA 250,2019,Jeep,5323,Grey
57,45641216,1411,NISSAN,Juke,2015,Jeep,87112,Black
58,45813399,392,BMW,535,2012,Sedan,204318,Black
59,44679525,23521,CHEVROLET,Cruze LT,2018,Sedan,22000,Red
60,45418626,16935,FORD,Fusion,2013,Sedan,83000,Silver
61,45323316,10349,TOYOTA,VOXY,2007,Minivan,170000,Black
62,45638910,7213,NISSAN,Juke,2013,Jeep,312118,Black
63,45778144,5331,MERCEDES-BENZ,A 160,2004,Sedan,130000,Black
64,45803923,20526,HYUNDAI,Tucson,2013,Jeep,200279,Grey
65,45803550,9722,HYUNDAI,Sonata,2015,Sedan,719847,Orange
66,45802190,34657,HYUNDAI,H1,2014,Minivan,154672,Silver
67,45802203,36564,HYUNDAI,H1,2016,Minivan,110969,Black
68,45648175,314,TOYOTA,Camry,2013,Sedan,225510,White
69,45786421,5488,TOYOTA,Vitz,2001,Hatchback,210000,Sky blue
70,45802120,30063,HYUNDAI,H1,2015,Universal,148105,Silver
71,45809414,15800,CHEVROLET,Captiva,2011,Jeep,255456,Silver
72,45797480,43952,HYUNDAI,H1,2017,Universal,111643,Grey
73,45732043,53154,HYUNDAI,Santa FE,2016,Jeep,84506,Silver
74,45816646,14740,TOYOTA,Prius,2011,Hatchback,288000,White
75,45624039,42337,FORD,Mustang,2016,Cabriolet,75000,Silver
76,45814804,3763,MERCEDES-BENZ,ML 350,2014,Jeep,94362,White
77,45787521,18189,TOYOTA,Prius,2012,Sedan,175000,Silver
78,45759890,862,LEXUS,GX 470,2008,Jeep,263190,White
79,45758167,220,FORD,Escape,2009,Jeep,193614,White
80,45648538,5645,TOYOTA,Highlander,2010,Jeep,264877,White
81,45757322,7527,TOYOTA,Yaris,2019,Sedan,27656,White
82,45800993,21953,HONDA,Civic,2014,Sedan,16000,White
83,45765301,8154,HONDA,Cr-v,1998,Jeep,0,White
84,45771208,21953,TOYOTA,Camry,2012,Sedan,195053,Black
85,45801684,19121,HYUNDAI,Elantra,2012,Sedan,121362,Black
86,45732386,36065,HYUNDAI,Santa FE,2014,Jeep,69191,White
87,43892866,8781,HONDA,FIT,2012,Hatchback,83000,Green
88,45810403,6247,CHEVROLET,Cruze,2010,Sedan,40772,Black
89,45810513,16289,CHEVROLET,Orlando,2012,Jeep,172000,Grey
90,45807330,77775,MERCEDES-BENZ,GL 63 AMG,2014,Jeep,433811,Black
91,45733554,2822,BMW,520 Vanos,1995,Sedan,350000,Blue
92,45769914,549,SUBARU,Forester,2012,Jeep,148213,Blue
93,45744824,6981,DAEWOO,Lacetti,2008,Sedan,103246,Black
94,45792882,27284,HYUNDAI,Elantra,2016,Sedan,105394,Black
95,45330228,32929,BMW,428 Sport Line,2013,Coupe,160000,Black
96,45776745,18817,NISSAN,Patrol,1990,Jeep,333333,Black
97,45749534,4234,HONDA,Civic,1997,Hatchback,0,Blue
98,45789555,15053,MERCEDES-BENZ,E 320,2004,Sedan,214000,Grey
99,45797276,15458,HYUNDAI,Genesis,2009,Coupe,123346,Black
100,45809760,2901,CHEVROLET,Cruze,2014,Sedan,80827,Green
101,45810325,706,PORSCHE,911,2013,Coupe,64464,Black
102,45813375,314,FORD,Fusion,2015,Sedan,91760,Black
103,45756975,15681,LEXUS,GX 460,2010,Jeep,275240,Silver
104,45776758,26657,MERCEDES-BENZ,Sprinter,2004,Microbus,300000,White
105,45550733,10663,TOYOTA,Prius,2007,Hatchback,318400,Silver
106,44094036,12858,FORD,Focus SE,2015,Sedan,91200,Sky blue
107,45642797,1019,BMW,X5,2013,Jeep,137802,Black
108,45760895,549,BMW,535,2013,Sedan,151586,White
109,45742789,12858,KIA,Picanto,2016,Hatchback,107000,Silver
110,45783859,15000,BMW,328,2008,Sedan,210408,White
111,45808992,85553,FORD,Explorer,2017,Jeep,100567,Black
112,45731735,44752,HYUNDAI,H1,2016,Universal,86000,Grey
113,45797948,17158,HYUNDAI,Elantra,2010,Sedan,122740,White
114,45782067,12231,MITSUBISHI,Airtrek,2005,Jeep,144000,White
115,45534351,11917,MERCEDES-BENZ,E 500 AMG,2003,Sedan,150000,White
116,45753393,1254,MITSUBISHI,Lancer,1997,Sedan,100000,Red
118,45726679,25591,SSANGYONG,Korando,2013,Jeep,85704,Silver
119,45803059,14897,HYUNDAI,Santa FE,2010,Jeep,58962,White
120,45770405,23521,TOYOTA,Camry,2013,Sedan,90000,White
121,45787329,3450,RENAULT,Clio,1995,Hatchback,50000,Green
122,45763505,706,MAZDA,616,2014,Sedan,0,Red
123,45767451,1019,TOYOTA,Highlander,2009,Sedan,318358,Black
124,45636958,16935,FORD,Fusion,2015,Sedan,71454,Black
125,45757670,19444,TOYOTA,Camry,2012,Sedan,0,Black
126,45733244,11604,HYUNDAI,Sonata,2014,Sedan,346470,Silver
127,45802837,51965,HYUNDAI,Santa FE,2016,Jeep,59515,Blue
128,45646428,706,TOYOTA,Camry,2014,Sedan,115312,Grey
129,45801896,9408,MERCEDES-BENZ,C 220,1999,Sedan,111111,Silver
130,45797732,13328,HYUNDAI,H1,2008,Minivan,74444,Yellow
131,45762683,17876,NISSAN,Serena,2012,Minivan,143000,White
132,45767013,549,NISSAN,Maxima,2004,Sedan,299709,Grey
133,45732074,20071,TOYOTA,RAV 4,2008,Jeep,135000,Silver
134,45731782,22894,HYUNDAI,H1,2011,Minivan,124444,Yellow
135,45662111,2901,HONDA,Civic,2012,Sedan,146403,White
136,45766794,15681,MITSUBISHI,Pajero,1997,Jeep,142000,Blue
137,45764126,39829,LEXUS,GX 460,2010,Jeep,155821,Black
138,45768549,706,LEXUS,GX 460,2015,Jeep,102907,Black
139,44698379,18660,HYUNDAI,Sonata,2013,Sedan,130000,Black
140,45770233,22580,MERCEDES-BENZ,E 300,2017,Sedan,50930,Black
141,45803455,11604,HYUNDAI,Sonata,2014,Sedan,264872,Silver
142,45760030,314,CHEVROLET,Volt,2014,Hatchback,131893,Brown
143,45810339,5488,GMC,TERRAIN,2013,Jeep,138958,Black
145,45642844,18817,TOYOTA,Camry,2018,Sedan,35058,White
146,44921934,21169,HONDA,Hr-v EX,2015,Jeep,33330,Grey
147,45462592,9095,FIAT,500,2011,Coupe,141000,Red
148,45634898,1568,VOLKSWAGEN,Jetta,2014,Sedan,82392,Silver
149,45777114,3136,SUBARU,Legacy,2005,Goods wagon,180000,Blue
150,45451626,17876,HYUNDAI,Elantra sport limited,2013,Sedan,117920,Grey
151,45732976,11290,HYUNDAI,Sonata,2016,Sedan,279787,Silver
152,44452971,36065,TOYOTA,Sienna,2010,Minivan,227200,White
153,45648000,862,TOYOTA,Camry,2014,Sedan,130478,White
154,45796845,21395,HYUNDAI,H1,2012,Universal,166144,Silver
155,45733140,15681,HYUNDAI,Sonata,2016,Sedan,258706,Silver
156,45762282,627,CHEVROLET,Volt,2012,Jeep,188419,Red
157,45810003,40070,TOYOTA,Aqua,2016,Hatchback,25807,Black
158,44875253,11917,MERCEDES-BENZ,A 170,2008,Hatchback,180000,Golden
159,45807577,72130,LEXUS,NX 300,2018,Jeep,18918,Black
160,45729867,35927,SSANGYONG,REXTON,2013,Jeep,137267,Silver
161,45801397,21012,TOYOTA,Prius,2014,Sedan,160000,White
162,45765622,21012,TOYOTA,Tacoma,2018,Sedan,27358,Grey
163,45781785,13172,KIA,Carnival grand,2009,Minivan,84176,White
164,45802035,15624,HYUNDAI,Genesis,2011,Coupe,107005,Grey
165,45811318,4547,OPEL,Vectra,1997,Sedan,15000,Beige
166,45751101,5488,INFINITI,QX60,2015,Jeep,124154,Black
167,45801611,20005,HYUNDAI,Elantra,2012,Sedan,104997,White
168,45792460,36110,VOLKSWAGEN,Passat,2017,Sedan,27728,Silver
169,45798511,7840,MERCEDES-BENZ,E 240 E 240,1998,Sedan,777777,Blue
170,45765057,470,MAZDA,1000,2019,Jeep,11566,Black
171,45782173,1300,AUDI,50,2018,Coupe,4000,Blue
172,45802937,43880,HYUNDAI,Santa FE,2016,Jeep,113700,Silver
173,45675386,29479,MERCEDES-BENZ,C 250,2014,Sedan,69000,Grey
174,45795520,17249,TOYOTA,Camry,2011,Sedan,152000,White
175,45778720,9408,TOYOTA,Vitz funkargo,2003,Universal,181926,Silver
176,45802938,44213,HYUNDAI,Santa FE,2016,Jeep,50255,Red
177,45801304,8467,BMW,325,2001,Sedan,252800,Grey
178,45808583,627,AUDI,A6,2014,Sedan,164488,Silver
179,45395938,21950,FORD,Transit,2011,Goods wagon,125000,White
180,45810208,706,FIAT,500,2012,Hatchback,164574,Red
181,45766275,3136,CHEVROLET,Cruze,2014,Sedan,156992,Black
182,45793851,3450,OPEL,Vectra,1995,Sedan,0,White
183,45805913,9408,MITSUBISHI,Pajero,1998,Jeep,11000,Silver
184,45793479,31500,NISSAN,Pathfinder,2010,Jeep,90200,Black
185,43390500,20385,MITSUBISHI,Delica,2005,Minivan,184000,White
186,45769518,314,MERCEDES-BENZ,E 350,2014,Sedan,149486,Silver
187,45792823,2300,VOLKSWAGEN,Golf,1996,Sedan,0,Green
188,45776494,7840,MERCEDES-BENZ,Vaneo,2004,Universal,170000,Silver
189,45787317,56450,TOYOTA,Camry Se,2018,Sedan,25000,Blue
190,45813281,1490,VOLKSWAGEN,Jetta,2014,Universal,113214,Grey
191,45772050,627,TOYOTA,Tacoma,2012,Sedan,394069,Black
192,45771040,314,MERCEDES-BENZ,E 350,2014,Sedan,149486,Silver
193,45788160,13172,HONDA,Cr-v,2002,Jeep,260000,Silver
194,45776729,19757,NISSAN,Patrol Y60,1990,Jeep,222222,Black
195,45646578,4704,AUDI,A7,2013,Hatchback,301707,Grey
196,45815974,706,HYUNDAI,Sonata,2013,Sedan,175827,Black
197,45773662,5802,MERCEDES-BENZ,E 350,2013,Sedan,107800,Grey
198,45767823,25716,TOYOTA,Camry,2014,Sedan,115200,Silver
199,45810599,14426,CHEVROLET,Orlando,2012,Jeep,132036,White
200,45709646,10820,TOYOTA,RAV 4,2001,Jeep,91000,Silver
201,45808960,45436,FORD,Explorer,2011,Jeep,129177,White
202,45816333,11917,HYUNDAI,I30,2008,Hatchback,201000,Black
203,45802892,41281,HYUNDAI,Santa FE,2015,Jeep,185811,Black
204,45805683,4391,NISSAN,Altima,1998,Sedan,358400,Brown
205,45810372,3058,PORSCHE,Cayenne,2018,Sedan,28968,White
206,45791663,3700,ALFA ROMEO,147,2001,Coupe,240000,Black
207,45816588,15681,SUZUKI,Grand Vitara,2008,Jeep,98000,Black
208,45813342,6586,LEXUS,CT 200h,2011,Hatchback,122302,Black
209,45798451,12544,TOYOTA,Prius,2007,Hatchback,140000,Beige
210,45803832,30063,HYUNDAI,Tucson,2014,Jeep,120000,White
211,45156280,72130,PORSCHE,Panamera,2010,Hatchback,196800,White
212,45801000,21639,HYUNDAI,Veloster,2015,Hatchback,17200,Red
213,44782223,36692,TOYOTA,RAV 4 XLE Sport,2013,Jeep,120000,White
215,45453314,12231,TOYOTA,Aqua,2014,Hatchback,66000,Silver
216,45761984,3136,TOYOTA,Sienta,2004,Sedan,300000,Beige
217,45783494,10663,TOYOTA,Prius,2009,Sedan,230000,Grey
218,45809193,5620,HONDA,FIT,2013,Hatchback,110467,White
219,41704944,19130,MERCEDES-BENZ,CLS 550,2010,Sedan,157000,Grey
220,45095136,9408,HONDA,FIT,2012,Hatchback,64000,Black
222,45781861,15367,VOLKSWAGEN,Passat,2013,Sedan,179200,White
223,45768489,5959,CHEVROLET,Avalanche,2011,Sedan,246976,Black
224,45731459,26594,HYUNDAI,H1,2014,Minivan,179918,Silver
225,45536422,36065,TOYOTA,Avalon LIMITED,2013,Sedan,92200,Beige
226,45742092,26343,KIA,Cerato K3,2016,Sedan,29000,Silver
227,45769229,549,MAZDA,CX-7,2011,Sedan,216550,Black
228,45788888,6000,JEEP,Grand Cherokee,1993,Jeep,240000,Green
229,45768507,40142,LEXUS,GX 470,2010,Jeep,357246,Grey
230,45506452,14000,HYUNDAI,Elantra,2013,Sedan,50000,Grey
231,45809707,17923,CHEVROLET,Cruze,2014,Sedan,127842,White
232,45804644,54518,HYUNDAI,Tucson,2017,Jeep,40193,Black
233,45761379,10349,OPEL,Astra G,2003,Hatchback,180000,Silver
234,45799440,8154,TOYOTA,Ist,2002,Hatchback,115000,Silver
235,45758164,282,FORD,Escape,2008,Jeep,220474,Grey
236,45813708,7527,VOLKSWAGEN,Passat,2013,Sedan,132310,Grey
237,45813166,3450,TOYOTA,Camry,2017,Sedan,60762,White
238,45804525,22063,HYUNDAI,Tucson,2010,Jeep,142264,White
239,45656681,2901,HONDA,Civic,2012,Sedan,146403,White
240,45812738,4704,TOYOTA,Corolla,2013,Sedan,227371,Silver
241,45754449,5331,VOLKSWAGEN,Passat,2002,Sedan,175000,Grey
242,45634846,941,VOLKSWAGEN,Jetta,2012,Sedan,203440,Black
243,45809446,16900,HONDA,FIT,2013,Hatchback,70000,Blue
244,45315594,18189,NISSAN,Rogue,2010,Jeep,122000,Silver
245,45789380,5331,MAZDA,MPV,2000,Minivan,127000,Green
246,45770019,42651,MERCEDES-BENZ,GLA 250,2017,Jeep,44995,Black
247,45813976,15524,TOYOTA,Prius,2012,Hatchback,122324,Red
248,45636297,17249,BMW,530,2007,Sedan,111111,Grey
249,45794250,73071,LEXUS,GS 350,2013,Sedan,56000,Black
250,45636962,862,FORD,Fusion,2014,Sedan,186048,Black
251,45797238,28909,HYUNDAI,Elantra,2017,Sedan,98000,White
252,45732617,8467,HYUNDAI,Sonata,2012,Sedan,573249,Black
254,45803460,14426,HYUNDAI,Sonata,2014,Sedan,169024,White
255,43247033,9000,VOLKSWAGEN,Sharan,2011,Minivan,126000,Silver
256,45769197,30734,MERCEDES-BENZ,E 350,2014,Sedan,200179,Black
257,45787509,22580,TOYOTA,Camry,2013,Sedan,156666,Black
258,45760052,862,CHEVROLET,Volt,2014,Jeep,133195,Black
259,45809244,7464,HONDA,FIT,2014,Hatchback,114950,Blue
260,45771034,1333,FORD,Fusion,2016,Sedan,154850,Black
261,45804881,59865,HYUNDAI,Tucson,2019,Jeep,13000,White
262,45765365,49237,TOYOTA,Tacoma,2017,Jeep,94262,White
263,45796914,68223,HYUNDAI,H1,2018,Universal,27406,Yellow
264,45771073,392,MERCEDES-BENZ,E 300,2017,Sedan,1600,Black
265,45787608,7683,NISSAN,Tiida,2006,Sedan,200000,Silver
266,45771597,22266,FORD,Fusion,2013,Sedan,85500,Black
267,45769046,2430,MERCEDES-BENZ,E 350,2008,Sedan,175614,Black
268,45638142,282,FORD,Fusion,2014,Sedan,0,Silver
269,45641194,392,NISSAN,Juke,2015,Jeep,85944,Black
270,45807457,33556,MERCEDES-BENZ,C 300,2015,Sedan,0,Black
271,45730558,39161,SSANGYONG,Actyon,2017,Jeep,73000,White
272,45815469,16308,FORD,Transit,2008,Microbus,180000,White
273,45539130,17719,TOYOTA,Camry,2009,Sedan,92000,Sky blue
274,45659883,43278,LEXUS,GX 460,2011,Jeep,160138,White
275,45816131,470,HYUNDAI,Santa FE,2012,Jeep,197923,Red
276,44810053,20385,CHEVROLET,Cruze,2017,Sedan,42000,Black
277,45764759,941,TOYOTA,Tundra,2016,Jeep,254805,White
278,45804880,49858,HYUNDAI,Tucson,2019,Jeep,48000,White
279,45622835,8781,NISSAN,Elgrand,1998,Minivan,230000,White
280,45813983,220,MERCEDES-BENZ,C 350,2013,Sedan,159250,Black
281,45803575,9722,HYUNDAI,Sonata,2015,Sedan,582376,Orange
282,45787301,21326,MERCEDES-BENZ,CLS 500,2006,Sedan,2000,Grey
283,45804856,51075,HYUNDAI,Tucson,2017,Jeep,40800,White
284,45802041,15241,HYUNDAI,Genesis,2011,Coupe,117492,Grey
285,45635110,2587,FORD,Fusion,2015,Sedan,88795,Black
286,45797839,15524,HYUNDAI,H1,2008,Minivan,56769,Silver
287,45793323,27911,MERCEDES-BENZ,C 250,2014,Sedan,70000,Beige
288,45766543,4861,TOYOTA,Camry,2013,Sedan,136861,Blue
289,45782548,29793,MERCEDES-BENZ,S 350,2005,Sedan,263000,Black
290,45797924,18208,HYUNDAI,Elantra,2012,Sedan,95665,Grey
291,45811155,549,HYUNDAI,Sonata,2017,Sedan,107387,Silver
293,44006324,34497,TOYOTA,RAV 4 Le,2013,Jeep,65350,White
294,45764287,6272,OPEL,Zafira,2000,Goods wagon,130000,Silver
295,45793908,4924,CHEVROLET,Captiva,2007,Jeep,183923,Silver
296,45763993,4704,OPEL,Vectra b,2000,Hatchback,11111,Red
297,45731752,43576,HYUNDAI,H1,2016,Universal,97129,Silver
298,45725280,7840,MERCEDES-BENZ,C 200,2001,Sedan,140000,Black
299,45115251,28225,TOYOTA,CHR,2018,Jeep,24000,Grey
300,45786030,700,OPEL,Astra,1992,Sedan,0,White
301,45812786,2352,MAZDA,323,1998,Hatchback,300000,Silver
302,45800731,18817,CHEVROLET,Cruze,2017,Hatchback,29094,Grey
303,45813862,4861,FORD,Fusion,2015,Sedan,148709,Red
304,45810175,13172,LEXUS,RX 450,2010,Jeep,186005,Silver
305,45342484,37320,MERCEDES-BENZ,E 350 ამგ,2013,Sedan,156800,Black
306,45751145,706,FORD,Escape,2017,Jeep,251430,Blue
307,45504338,39201,TOYOTA,Camry,2015,Sedan,35000,Grey
308,45797233,36426,HYUNDAI,Elantra,2018,Sedan,35643,White
309,45787913,8467,HONDA,Civic,2006,Hatchback,250000,Grey
310,45798480,7840,MERCEDES-BENZ,CLK 320,2000,Coupe,255000,Silver
311,45752253,12701,HONDA,Cr-v,2015,Jeep,117158,White
312,45769910,8154,SUBARU,Forester,2012,Jeep,281659,Blue
313,45548523,46414,TOYOTA,Avalon,2015,Sedan,63645,White
314,45806590,45160,MERCEDES-BENZ,ML 250,2015,Jeep,197338,White
316,45814316,100355,AUDI,A7 Prestige,2016,Sedan,35000,Black
317,45751820,1176,MITSUBISHI,Colt Lancer,2014,Hatchback,136634,Silver
318,45793536,12231,HYUNDAI,Elantra,2013,Coupe,77000,Beige
319,45776871,5802,TOYOTA,Prius,2007,Hatchback,140000,Green
320,45815909,2901,HYUNDAI,Sonata,2018,Sedan,45494,White
321,45767606,1882,TOYOTA,Prius,2017,Sedan,47672,White
322,42866899,22894,NISSAN,Pathfinder,2010,Sedan,109100,Blue
323,45706976,11290,HONDA,FIT,2013,Sedan,145000,Silver
324,43353662,6586,BMW,318,1997,Sedan,270000,Green
325,45792706,14426,TOYOTA,Camry,2006,Sedan,188800,Grey
326,45543235,36065,MITSUBISHI,Outlander,2016,Jeep,39000,Silver
327,45749598,27284,TOYOTA,Camry SE,2014,Sedan,52000,Black
328,45617361,21639,SUBARU,Forester,2016,Jeep,34000,White
329,45797343,7840,HYUNDAI,I30,2009,Hatchback,140000,Silver
330,45815372,7840,MERCEDES-BENZ,E 200,1998,Sedan,180003,Black
331,45757416,282,FORD,Escape,2008,Jeep,220474,Grey
332,45654682,1646,MERCEDES-BENZ,GLE 350,2016,Jeep,59099,White
333,45804791,24198,HYUNDAI,Tucson,2013,Jeep,124000,Silver
334,45809396,25365,HONDA,FIT,2013,Hatchback,34682,Grey
335,45763292,1725,CHEVROLET,Malibu,2014,Sedan,310061,Blue
336,45754843,314,ACURA,TL,2010,Sedan,162453,Silver
337,45806345,17249,TOYOTA,Prius,2012,Sedan,22400,White
338,45774174,470,MERCEDES-BENZ,E 350,2010,Sedan,229904,Black
339,45756945,31361,HYUNDAI,Sonata,2014,Sedan,62000,White
340,45797127,4704,HYUNDAI,Elantra,2007,Sedan,54279,Silver
341,45809778,12720,CHEVROLET,Cruze,2011,Sedan,135759,Grey
342,45804848,26372,HYUNDAI,Tucson,2013,Jeep,120534,Silver
343,45786770,13485,BMW,X5,2003,Jeep,189000,Black
344,45730143,25591,HYUNDAI,Elantra,2014,Sedan,140000,White
345,45814808,6429,MERCEDES-BENZ,C 300,2010,Sedan,108517,White
346,45813961,251,LEXUS,RX 350,2016,Jeep,107030,Grey
347,45764921,39829,LEXUS,GX 460,2010,Jeep,155821,Black
348,45620554,13172,MERCEDES-BENZ,E 350,2011,Sedan,325811,Black
349,45524915,627,TOYOTA,CHR,2019,Jeep,24339,Blue
350,45808996,8097,DAEWOO,Lacetti,2009,Sedan,130000,Black
351,45811316,12388,BMW,X5,2012,Jeep,420794,Black
352,45782212,18503,HYUNDAI,Sonata,2012,Sedan,280480,Silver
353,45624104,12231,HONDA,Insight,2010,Sedan,150000,Black
355,45796881,17054,HYUNDAI,H1,2011,Universal,237853,Silver
356,45801349,5300,HONDA,Stream,2001,Universal,111000,Black
357,45803109,9565,HYUNDAI,Sonata,2015,Sedan,42000,Orange
358,45810274,24302,CHEVROLET,Malibu,2015,Sedan,60618,Black
359,45816654,18817,TOYOTA,Camry,2009,Sedan,230400,Silver
360,45809770,1960,NISSAN,Altima,2014,Sedan,127918,Red
361,45682514,17249,HYUNDAI,Sonata,2016,Sedan,77000,Silver
362,45732640,15530,HYUNDAI,Sonata,2016,Sedan,280016,Silver
363,45803334,11290,HYUNDAI,Sonata,2016,Sedan,270874,Silver
364,45235243,24148,TOYOTA,Prius,2013,Hatchback,118000,Sky blue
365,45732741,10036,HYUNDAI,Sonata,2014,Sedan,362868,Silver
366,45569356,18817,HYUNDAI,Elantra,2015,Sedan,85000,Black
367,45757721,10349,LEXUS,CT 200h,2014,Hatchback,132563,Red
368,45815351,549,LEXUS,RX 350,2010,Jeep,138211,Black
369,45803322,9252,HYUNDAI,Sonata,2015,Sedan,391625,Orange
370,45804868,55823,HYUNDAI,Tucson,2018,Jeep,38577,Black
371,45491644,25089,TOYOTA,Camry,2013,Sedan,132800,Blue
372,45802275,18669,HYUNDAI,H1,2011,Minivan,52686,Silver
373,45658776,941,LEXUS,RX 450,2012,Jeep,232357,Black
374,45788303,15053,FORD,Transit,2001,Microbus,253206,White
375,45809240,10660,HONDA,FIT,2014,Hatchback,76525,Blue
376,45803780,37000,HYUNDAI,Tucson,2016,Jeep,80000,Silver
377,45730373,18826,SSANGYONG,REXTON,2011,Jeep,186412,Silver
378,45617817,14583,MERCEDES-BENZ,E 350,2011,Sedan,230696,Black
379,45537268,21012,MERCEDES-BENZ,Vito,2007,Minivan,285000,Red
380,44719048,5645,MITSUBISHI,I,2011,Hatchback,92000,Brown
381,45725138,18826,SSANGYONG,Actyon,2010,Jeep,120000,Silver
382,45804512,22649,HYUNDAI,Tucson,2011,Jeep,142000,White
383,45802112,16590,HYUNDAI,H1,2011,Minivan,42415,White
384,45547620,31988,TOYOTA,Camry,2014,Sedan,51000,Grey
385,45744745,8624,DAEWOO,Lacetti,2009,Sedan,19999,Grey
386,45694949,21012,TOYOTA,Camry,2015,Sedan,89000,Silver
387,45746583,10663,HONDA,FIT,2014,Hatchback,114000,White
388,45766463,220,MERCEDES-BENZ,E 350,2014,Sedan,95987,Black
389,45756836,13485,VOLKSWAGEN,GTI,2006,Hatchback,161000,Black
390,45772942,5331,MITSUBISHI,Colt,2003,Hatchback,241589,Sky blue
391,45815556,7370,OPEL,Zafira,2000,Minivan,260000,Silver
392,45793973,11900,FORD,Transit,2003,Microbus,195000,Yellow
393,45418147,17249,VOLKSWAGEN,Jetta,2015,Sedan,55000,Black
394,45759758,4391,MITSUBISHI,Pajero Mini,2006,Jeep,314000,Silver
395,45810764,17876,FORD,C-MAX,2013,Hatchback,120000,Silver
396,45766173,11604,HONDA,FIT,2010,Hatchback,157000,White
397,45814787,13799,BMW,750,2005,Sedan,240000,Black
398,45804403,40769,TOYOTA,RAV 4 s p o r t,2017,Jeep,76000,Black
399,45654585,7997,LEXUS,RX 400,2008,Jeep,244731,Black
400,45761649,7840,MERCEDES-BENZ,E 250,1995,Sedan,410918,White
401,45805624,14113,VOLKSWAGEN,Jetta,2011,Sedan,156800,Blue
402,45793535,11917,HONDA,FIT,2011,Hatchback,188000,Blue
403,45732782,12777,HYUNDAI,Sonata,2013,Sedan,162558,Black
